Domain,Problem,Planner,Runtime,Makespan
blocksworld,1,HSP,0.26,5
blocksworld,1,MCTS,0.23,5
blocksworld,2,HSP,0.11,5
blocksworld,2,MCTS,0.11,7
blocksworld,3,HSP,0.13,9
blocksworld,3,MCTS,0.31,9
blocksworld,4,HSP,0.13,9
blocksworld,4,MCTS,2.16,14
blocksworld,5,HSP,0.25,21
blocksworld,5,MCTS,2.26,72
depots,1,HSP,0.18,9
depots,1,MCTS,0.81,26
depots,2,HSP,0.27,14
depots,2,MCTS,4.47,32
depots,3,HSP,1.35,29
depots,3,MCTS,5.98,72
depots,4,HSP,27.02,29
depots,4,MCTS,9.81,108
depots,5,HSP,255.48,46
depots,5,MCTS,13.36,108
gripper,1,HSP,0.99,8
gripper,1,MCTS,0.48,20
gripper,2,HSP,59.67,12
gripper,2,MCTS,0.68,31
gripper,3,HSP,null,null
gripper,3,MCTS,1.09,68
gripper,4,HSP,null,null
gripper,4,MCTS,2.15,60
gripper,5,HSP,null,null
gripper,5,MCTS,5.06,107
logistics,1,HSP,0.25,19
logistics,1,MCTS,4.51,108
logistics,2,HSP,0.29,26
logistics,2,MCTS,2.74,108
logistics,3,HSP,0.39,23
logistics,3,MCTS,3.04,72
logistics,4,HSP,0.51,30
logistics,4,MCTS,7.25,72
logistics,5,HSP,0.80,35
logistics,5,MCTS,7.56,108

